1986;C;FOFANA;Udinese;11
4512;C;SCHONE;Genoa;11
4514;C;NANDEZ;Cagliari;11
2743;A;SANTANDER;Bologna;11
2826;A;PUSSETTO;Udinese;11
2327;A;STEPINSKI;Verona;11
133;P;SKORUPSKI;Bologna;10
1917;P;DRAGOWSKI;Fiorentina;10
761;P;AUDERO;Sampdoria;10
509;P;CONSIGLI;Sassuolo;10
252;D;BIRAGHI;Inter;10
2164;D;MILENKOVIC;Fiorentina;10
2006;D;LIROLA;Fiorentina;10
2192;D;BONIFAZI;Torino;10
22;C;DE ROON;Atalanta;10
2077;C;PASALIC;Atalanta;10
2076;C;ROG;Cagliari;10
150;C;SAPONARA;Genoa;10
299;C;KHEDIRA;Juventus;10
2692;C;CASTILLEJO;Milan;10
2287;C;RAMIREZ;Sampdoria;10
4501;C;OBIANG;Sassuolo;10
2789;C;MEITE';Torino;10
632;C;ZACCAGNI;Verona;10
1879;A;FARIAS;Lecce;10
245;A;PANDEV;Genoa;10
479;A;SANABRIA;Genoa;10
1943;A;NESTOROVSKI;Udinese;10
636;A;PAZZINI;Verona;10
4527;A;PEDRO;Fiorentina;10
159;P;SEPE;Parma;9
2792;P;MUSSO;Udinese;9
2181;D;PALOMINO;Atalanta;9
695;D;TOLOI;Atalanta;9
2309;D;PEZZELLA GER;Fiorentina;9
4307;D;ROMERO C;Genoa;9
365;D;ZAPATA C;Genoa;9
253;D;D'AMBROSIO;Inter;9
4397;D;VAVRO;Lazio;9
357;D;CALABRIA;Milan;9
1864;D;BRUNO ALVES;Parma;9
2016;D;FAZIO;Roma;9
464;D;FLORENZI;Roma;9
1895;D;FERRARI G;Sassuolo;9
4511;D;DUARTE;Milan;9
554;D;ZAPPACOSTA;Roma;9
374;C;POLI;Bologna;9
4445;C;BISOLI;Brescia;9
697;C;CUADRADO;Juventus;9
2209;C;LUCAS LEIVA;Lazio;9
779;C;CRISTANTE;Roma;9
1987;C;JANKTO;Sampdoria;9
2205;C;BERENGUER;Torino;9
238;C;RINCON;Torino;9
264;C;BESSA;Verona;9
2719;A;BARROW;Atalanta;9
4477;A;LA MANTIA;Lecce;9
2163;A;CORNELIUS;Parma;9
126;A;PALOSCHI;SPAL;9
4425;P;JORONEN;Brescia;8
1843;P;RADU I;Genoa;8
316;P;BERISHA E;SPAL;8
787;D;DJIMSITI;Atalanta;8
578;D;DANILO LAR;Bologna;8
2746;D;DIJKS;Bologna;8
2083;D;BIRASCHI;Genoa;8
4332;D;DEMIRAL;Juventus;8
4292;D;HERNANDEZ T;Milan;8
2169;D;RODRIGUEZ R;Milan;8
2860;D;MALCUIT;Napoli;8
73;D;GAGLIOLO;Parma;8
259;D;MURILLO;Sampdoria;8
2865;D;AINA;Torino;8
2171;D;LYANCO;Torino;8
4412;D;RODRIGO BECAO;Udinese;8
2525;D;DARMIAN;Parma;8
2633;D;KJAER;Atalanta;8
713;C;DZEMAILI;Bologna;8
2106;C;MOROSINI;Brescia;8
4448;C;SPALEK;Brescia;8
627;C;IONITA;Cagliari;8
4377;C;CASTROVILLI;Fiorentina;8
332;C;CANDREVA;Inter;8
801;C;GAGLIARDINI;Inter;8
4385;C;LAZARO;Inter;8
181;C;VECINO;Inter;8
2166;C;BENTANCUR;Juventus;8
65;C;MANCOSU;Lecce;8
331;C;BIGLIA;Milan;8
2776;C;YOUNES;Napoli;8
2802;C;BARILLA';Parma;8
27;C;GRASSI;Parma;8
58;C;DIAWARA;Roma;8
1933;C;MANDRAGORA;Udinese;8
4415;A;SKOV OLSEN;Bologna;8
4388;A;ADEKANYE;Lazio;8
637;A;SILIGARDI;Parma;8
2873;A;TEODORCZYK;Udinese;8
2211;P;SILVESTRI;Verona;7
15;D;MASIELLO A;Atalanta;7
4414;D;DENSWIL;Bologna;7
4442;D;CISTANA;Brescia;7
99;D;CACCIATORE;Cagliari;7
1866;D;CEPPITELLI;Cagliari;7
294;D;RUGANI;Juventus;7
2335;D;LUIZ FELIPE;Lazio;7
329;D;RADU;Lazio;7
2168;D;MUSACCHIO;Milan;7
140;D;HYSAJ;Napoli;7
141;D;LAURINI;Parma;7
1852;D;SPINAZZOLA;Roma;7
1868;D;MURRU;Sampdoria;7
2318;D;ROGERIO;Sassuolo;7
4426;D;TOLJAN;Sassuolo;7
4407;D;IGOR;SPAL;7
2261;D;VICARI;SPAL;7
2869;D;DJIDJI;Torino;7
790;D;SAMIR;Udinese;7
2315;D;STRYGER LARSEN;Udinese;7
4420;D;BOCCHETTI;Verona;7
4526;D;ARANA;Atalanta;7
4447;C;NDOJ;Brescia;7
111;C;BIRSA;Cagliari;7
118;C;RADOVANOVIC;Genoa;7
621;C;ROMULO;Brescia;7
4479;C;ELMAS;Napoli;7
2391;C;EKDAL;Sampdoria;7
4405;C;MARONI;Sampdoria;7
21;C;D'ALESSANDRO;SPAL;7
633;C;FARES;SPAL;7
2003;C;MURGIA;SPAL;7
2011;C;MIGUEL VELOSO;Verona;7
4513;C;ZMRHAL;Brescia;7
236;C;LAZOVIC;Verona;7
2392;C;WALACE;Udinese;7
2389;C;IMBULA;Lecce;7
4413;A;AYE';Brescia;7
533;A;FLOCCARI;SPAL;7
385;P;GABRIEL;Lecce;6
4429;D;CHANCELLOR;Brescia;6
1896;D;MARTELLA;Brescia;6
791;D;SABELLI;Brescia;6
2871;D;KLAVAN;Cagliari;6
1979;D;BARRECA;Genoa;6
358;D;DE SCIGLIO;Juventus;6
2728;D;PELLEGRINI LU;Cagliari;6
2062;D;BASTOS;Lazio;6
4398;D;BENZAR;Lecce;6
4470;D;CALDERONI;Lecce;6
2784;D;COLLEY;Sampdoria;6
2141;D;DEPAOLI;Sampdoria;6
2769;D;MAGNANI;Brescia;6
2355;D;MARLON;Sassuolo;6
780;D;CIONEK;SPAL;6
708;D;FELIPE;SPAL;6
224;D;DE MAIO;Udinese;6
4449;C;TONALI;Brescia;6
20;C;CIGARINI;Cagliari;6
4376;C;ZURKOWSKI;Fiorentina;6
4330;C;LERAGER;Genoa;6
305;C;STURARO;Genoa;6
170;C;BADELJ;Fiorentina;6
4424;C;JONY;Lazio;6
179;C;PETRICCIONE;Lecce;6
4423;C;HERNANI;Parma;6
2833;C;KULUSEVSKI;Parma;6
600;C;VERRE;Verona;6
2825;C;BOURABIA;Sassuolo;6
529;C;MISSIROLI;SPAL;6
2274;C;VALOTI;SPAL;6
2009;C;LUKIC;Torino;6
589;C;BADU;Verona;6
4381;A;GUMUS;Genoa;6
2773;A;SPROCATI;Parma;6
